rule,layer,roi,subject,rho,pval,seed_idx
Burstprop,Conv1,V1,sub-01,0.02377,0.0,0
Burstprop,Conv1,V1,sub-02,0.04532,0.0,0
Burstprop,Conv1,V1,sub-03,0.00972,0.0,0
Burstprop,Conv1,V2,sub-01,0.01413,0.0,0
Burstprop,Conv1,V2,sub-02,0.02492,0.0,0
Burstprop,Conv1,V2,sub-03,0.0016,0.41553,0
Burstprop,Conv1,V3,sub-01,0.01224,0.0,0
Burstprop,Conv1,V3,sub-02,0.018,0.0,0
Burstprop,Conv1,V3,sub-03,0.00303,0.12319,0
Burstprop,Conv1,V4,sub-01,0.0038,0.05292,0
Burstprop,Conv1,V4,sub-02,0.00747,0.00014,0
Burstprop,Conv1,V4,sub-03,0.00608,0.00199,0
Burstprop,Conv1,LOC,sub-01,0.00663,0.00075,0
Burstprop,Conv1,LOC,sub-02,0.00705,0.00033,0
Burstprop,Conv1,LOC,sub-03,0.00038,0.84581,0
Burstprop,Conv1,IT,sub-01,0.00782,7e-05,0
Burstprop,Conv1,IT,sub-02,0.00694,0.00042,0
Burstprop,Conv1,IT,sub-03,0.00349,0.07563,0
Burstprop,Conv2,V1,sub-01,0.03913,0.0,0
Burstprop,Conv2,V1,sub-02,0.06624,0.0,0
Burstprop,Conv2,V1,sub-03,0.0117,0.0,0
Burstprop,Conv2,V2,sub-01,0.02761,0.0,0
Burstprop,Conv2,V2,sub-02,0.04974,0.0,0
Burstprop,Conv2,V2,sub-03,0.00471,0.01655,0
Burstprop,Conv2,V3,sub-01,0.02206,0.0,0
Burstprop,Conv2,V3,sub-02,0.04742,0.0,0
Burstprop,Conv2,V3,sub-03,0.00463,0.01852,0
Burstprop,Conv2,V4,sub-01,0.00776,8e-05,0
Burstprop,Conv2,V4,sub-02,0.01945,0.0,0
Burstprop,Conv2,V4,sub-03,0.00533,0.00673,0
Burstprop,Conv2,LOC,sub-01,0.00773,8e-05,0
Burstprop,Conv2,LOC,sub-02,0.01171,0.0,0
Burstprop,Conv2,LOC,sub-03,0.00037,0.85008,0
Burstprop,Conv2,IT,sub-01,0.01057,0.0,0
Burstprop,Conv2,IT,sub-02,0.0123,0.0,0
Burstprop,Conv2,IT,sub-03,0.00423,0.03136,0
Burstprop,Conv3,V1,sub-01,0.0483,0.0,0
Burstprop,Conv3,V1,sub-02,0.07954,0.0,0
Burstprop,Conv3,V1,sub-03,0.01466,0.0,0
Burstprop,Conv3,V2,sub-01,0.02885,0.0,0
Burstprop,Conv3,V2,sub-02,0.06172,0.0,0
Burstprop,Conv3,V2,sub-03,0.00548,0.00533,0
Burstprop,Conv3,V3,sub-01,0.02228,0.0,0
Burstprop,Conv3,V3,sub-02,0.05741,0.0,0
Burstprop,Conv3,V3,sub-03,0.00423,0.03152,0
Burstprop,Conv3,V4,sub-01,0.01161,0.0,0
Burstprop,Conv3,V4,sub-02,0.02986,0.0,0
Burstprop,Conv3,V4,sub-03,0.00414,0.03508,0
Burstprop,Conv3,LOC,sub-01,0.00807,4e-05,0
Burstprop,Conv3,LOC,sub-02,0.01503,0.0,0
Burstprop,Conv3,LOC,sub-03,0.00235,0.23164,0
Burstprop,Conv3,IT,sub-01,0.01031,0.0,0
Burstprop,Conv3,IT,sub-02,0.02025,0.0,0
Burstprop,Conv3,IT,sub-03,0.00368,0.06089,0
Burstprop,FC1,V1,sub-01,0.04117,0.0,0
Burstprop,FC1,V1,sub-02,0.08217,0.0,0
Burstprop,FC1,V1,sub-03,0.01499,0.0,0
Burstprop,FC1,V2,sub-01,0.02765,0.0,0
Burstprop,FC1,V2,sub-02,0.06739,0.0,0
Burstprop,FC1,V2,sub-03,0.00779,7e-05,0
Burstprop,FC1,V3,sub-01,0.01943,0.0,0
Burstprop,FC1,V3,sub-02,0.07297,0.0,0
Burstprop,FC1,V3,sub-03,0.00504,0.01035,0
