roi,layer,rule_a,rule_b,delta,p_uncorrected,p_fdr,sig_fdr
V1,Conv1,Random Weights,Backprop,0.04374,0.0,0.0,***
V1,Conv1,Random Weights,Feedback Alignment,0.06509,0.0,0.0,***
V1,Conv1,Random Weights,Predictive Coding,0.01962,0.0,0.0,***
V1,Conv1,Random Weights,STDP,0.01101,0.0,0.0,***
V1,Conv1,Backprop,Feedback Alignment,0.02135,0.0,0.0,***
V1,Conv1,Backprop,Predictive Coding,-0.02412,0.0,0.0,***
V1,Conv1,Backprop,STDP,-0.03273,0.0,0.0,***
V1,Conv1,Feedback Alignment,Predictive Coding,-0.04547,0.0,0.0,***
V1,Conv1,Feedback Alignment,STDP,-0.05408,0.0,0.0,***
V1,Conv1,Predictive Coding,STDP,-0.00861,0.002,0.0036,**
V2,Conv1,Random Weights,Backprop,0.02586,0.0,0.0,***
V2,Conv1,Random Weights,Feedback Alignment,0.04012,0.0,0.0,***
V2,Conv1,Random Weights,Predictive Coding,0.01563,0.0,0.0,***
V2,Conv1,Random Weights,STDP,0.00742,0.009,0.0144,*
V2,Conv1,Backprop,Feedback Alignment,0.01427,0.0,0.0,***
V2,Conv1,Backprop,Predictive Coding,-0.01022,0.0,0.0,***
V2,Conv1,Backprop,STDP,-0.01843,0.0,0.0,***
V2,Conv1,Feedback Alignment,Predictive Coding,-0.02449,0.0,0.0,***
V2,Conv1,Feedback Alignment,STDP,-0.0327,0.0,0.0,***
V2,Conv1,Predictive Coding,STDP,-0.00821,0.006,0.0104,*
LOC,Conv3,Random Weights,Backprop,-0.01742,0.0,0.0,***
LOC,Conv3,Random Weights,Feedback Alignment,-0.01145,0.0,0.0,***
LOC,Conv3,Random Weights,Predictive Coding,-0.01214,0.0,0.0,***
LOC,Conv3,Random Weights,STDP,-0.01189,0.0,0.0,***
LOC,Conv3,Backprop,Feedback Alignment,0.00597,0.035,0.0514,ns
LOC,Conv3,Backprop,Predictive Coding,0.00528,0.059,0.0787,ns
LOC,Conv3,Backprop,STDP,0.00553,0.051,0.0703,ns
LOC,Conv3,Feedback Alignment,Predictive Coding,-0.0007,0.8,0.8649,ns
LOC,Conv3,Feedback Alignment,STDP,-0.00045,0.868,0.8903,ns
LOC,Conv3,Predictive Coding,STDP,0.00025,0.933,0.933,ns
IT,FC1,Random Weights,Backprop,-0.00595,0.036,0.0514,ns
IT,FC1,Random Weights,Feedback Alignment,-0.00422,0.114,0.1471,ns
IT,FC1,Random Weights,Predictive Coding,-0.00779,0.007,0.0117,*
IT,FC1,Random Weights,STDP,-0.00656,0.018,0.0277,*
IT,FC1,Backprop,Feedback Alignment,0.00173,0.522,0.5966,ns
IT,FC1,Backprop,Predictive Coding,-0.00184,0.518,0.5966,ns
IT,FC1,Backprop,STDP,-0.00061,0.826,0.8695,ns
IT,FC1,Feedback Alignment,Predictive Coding,-0.00357,0.199,0.2488,ns
IT,FC1,Feedback Alignment,STDP,-0.00234,0.411,0.4982,ns
IT,FC1,Predictive Coding,STDP,0.00124,0.671,0.7456,ns
