rule,layer,roi,rho,rho_std,ci_lo,ci_hi,n_seeds,n_subs,rho_sub01,rho_sub02,rho_sub03,rho_sub_mean
Backprop,Conv1,V1,0.03346,0.00674,0.02932,0.03715,5,3,0.02117,0.03718,0.00821,0.02219
Backprop,Conv1,V2,0.01846,0.00476,0.01501,0.02246,5,3,0.01181,0.02229,0.00269,0.01226
Backprop,Conv2,V1,-0.03266,0.00456,-0.03646,-0.02886,5,3,-0.02426,-0.05019,0.00235,-0.02403
Backprop,Conv2,V2,-0.02321,0.00288,-0.02692,-0.01956,5,3,-0.00968,-0.03911,0.00278,-0.01534
Backprop,Conv3,LOC,0.01162,0.00105,0.00767,0.01561,5,3,0.00693,0.0096,0.00441,0.00698
Backprop,FC1,IT,0.01325,0.00171,0.0092,0.01704,5,3,0.01277,0.00895,0.00517,0.00896
Feedback Alignment,Conv1,V1,0.01173,0.00804,0.008,0.01568,5,3,0.00232,0.01622,0.00383,0.00746
Feedback Alignment,Conv1,V2,0.00394,0.0032,0.00037,0.00821,5,3,-0.00024,0.00858,9e-05,0.00281
Feedback Alignment,Conv2,V1,0.01458,0.00603,0.01084,0.01861,5,3,0.00598,0.01713,0.00568,0.00959
Feedback Alignment,Conv2,V2,0.00806,0.00414,0.00482,0.01197,5,3,0.00566,0.00954,0.00146,0.00555
Feedback Alignment,Conv3,LOC,0.00564,0.00066,0.00192,0.00944,5,3,0.00624,0.00468,-0.00092,0.00334
Feedback Alignment,FC1,IT,0.01156,0.00081,0.00788,0.01517,5,3,0.00829,0.00935,0.00238,0.00667
Predictive Coding,Conv1,V1,0.05607,0.01112,0.05232,0.06029,5,3,0.04095,0.06148,0.01272,0.03838
Predictive Coding,Conv1,V2,0.0279,0.00623,0.02428,0.03181,5,3,0.023,0.03172,0.001,0.01857
Predictive Coding,Conv2,V1,0.06547,0.00886,0.06155,0.06949,5,3,0.05147,0.06844,0.01424,0.04472
Predictive Coding,Conv2,V2,0.02912,0.004,0.02558,0.03319,5,3,0.02669,0.0305,0.00093,0.01937
Predictive Coding,Conv3,LOC,0.00605,0.00126,0.00216,0.0098,5,3,0.00819,0.00261,0.00107,0.00395
Predictive Coding,FC1,IT,0.01364,0.00266,0.00989,0.01727,5,3,0.01165,0.00989,0.00395,0.0085
Random Weights,Conv1,V1,0.07546,0.00827,0.07182,0.07961,5,3,0.05328,0.08832,0.01614,0.05258
Random Weights,Conv1,V2,0.04334,0.00516,0.03972,0.04736,5,3,0.03371,0.05114,0.00175,0.02887
Random Weights,Conv2,V1,0.09109,0.00355,0.0873,0.09518,5,3,0.06638,0.10736,0.01801,0.06392
Random Weights,Conv2,V2,0.05563,0.00244,0.05193,0.05958,5,3,0.04178,0.06721,0.0026,0.0372
Random Weights,Conv3,LOC,-0.00505,0.00243,-0.00921,-0.00113,5,3,0.00603,-0.00949,-0.00274,-0.00206
Random Weights,FC1,IT,0.00777,0.00291,0.00398,0.01195,5,3,0.00238,0.00893,0.00316,0.00483
STDP,Conv1,V1,0.06414,0.01051,0.06038,0.06819,5,3,0.04713,0.07286,0.012,0.044
STDP,Conv1,V2,0.03577,0.00763,0.0321,0.03972,5,3,0.02689,0.04258,0.00156,0.02368
STDP,Conv2,V1,0.07041,0.01583,0.06659,0.07438,5,3,0.05354,0.07798,0.01338,0.0483
STDP,Conv2,V2,0.04094,0.0092,0.03748,0.04492,5,3,0.03267,0.047,0.0017,0.02712
STDP,Conv3,LOC,0.00579,0.00195,0.00185,0.00941,5,3,0.00837,0.00257,0.00033,0.00375
STDP,FC1,IT,0.01187,0.002,0.00821,0.01554,5,3,0.00976,0.00831,0.00383,0.0073
