rule,roi,rho_ep0,rho_ep1,delta,p_uncorr,sig,cohens_d,p_fdr,sig_fdr
Backprop,V1,0.10221,0.0106,-0.09161,0.0625,ns,-23.032,0.075,ns
Backprop,V2,0.06193,0.00501,-0.05693,0.0625,ns,-59.241,0.075,ns
Backprop,V3,0.04894,0.00633,-0.04261,0.0625,ns,-41.23,0.075,ns
Backprop,V4,0.02209,0.00476,-0.01733,0.0625,ns,-12.483,0.075,ns
Backprop,LOC,-0.00065,0.00479,0.00545,0.0625,ns,7.739,0.075,ns
Backprop,IT,0.00483,0.00522,0.00039,0.625,ns,0.223,0.6522,ns
Feedback Alignment,V1,0.08877,0.04401,-0.04476,0.0625,ns,-2.181,0.075,ns
Feedback Alignment,V2,0.0539,0.0282,-0.0257,0.0625,ns,-2.028,0.075,ns
Feedback Alignment,V3,0.04376,0.0244,-0.01936,0.0625,ns,-2.048,0.075,ns
Feedback Alignment,V4,0.01989,0.01238,-0.00751,0.0625,ns,-1.805,0.075,ns
Feedback Alignment,LOC,-4e-05,0.00318,0.00322,0.0625,ns,2.222,0.075,ns
Feedback Alignment,IT,0.00522,0.00615,0.00093,0.25,ns,0.611,0.2857,ns
Predictive Coding,V1,0.09344,0.06986,-0.02357,0.0625,ns,-4.487,0.075,ns
Predictive Coding,V2,0.05628,0.03739,-0.01889,0.0625,ns,-4.159,0.075,ns
Predictive Coding,V3,0.04507,0.02862,-0.01646,0.0625,ns,-3.704,0.075,ns
Predictive Coding,V4,0.02282,0.01823,-0.00459,0.0625,ns,-2.672,0.075,ns
Predictive Coding,LOC,0.00437,0.00438,0.0,0.375,ns,0.447,0.4091,ns
Predictive Coding,IT,0.00745,0.00745,1e-05,0.0625,ns,2.021,0.075,ns
STDP,V1,0.0967,0.06692,-0.02978,0.0625,ns,-5.681,0.075,ns
STDP,V2,0.06251,0.04345,-0.01906,0.0625,ns,-3.764,0.075,ns
STDP,V3,0.05108,0.03086,-0.02021,0.0625,ns,-4.953,0.075,ns
STDP,V4,0.02367,0.01711,-0.00656,0.0625,ns,-4.162,0.075,ns
STDP,LOC,0.00341,0.00352,0.00011,0.0625,ns,1.648,0.075,ns
STDP,IT,0.00606,0.00606,1e-05,0.875,ns,0.102,0.875,ns
