rule,layer,roi,subject,seed_idx,epoch,rho,pval
Random Weights,Conv1,V1,sub-01,0,0,0.060318,0.0
Random Weights,Conv1,V1,sub-02,0,0,0.099211,0.0
Random Weights,Conv1,V1,sub-03,0,0,0.017059,0.0
Random Weights,Conv1,V2,sub-01,0,0,0.037857,0.0
Random Weights,Conv1,V2,sub-02,0,0,0.058762,0.0
Random Weights,Conv1,V2,sub-03,0,0,0.00236,0.229833
Random Weights,Conv1,V3,sub-01,0,0,0.026736,0.0
Random Weights,Conv1,V3,sub-02,0,0,0.036431,0.0
Random Weights,Conv1,V3,sub-03,0,0,0.005023,0.010609
Random Weights,Conv1,V4,sub-01,0,0,0.014026,0.0
Random Weights,Conv1,V4,sub-02,0,0,0.010192,0.0
Random Weights,Conv1,V4,sub-03,0,0,0.004252,0.030525
Random Weights,Conv1,LOC,sub-01,0,0,0.006741,0.000604
Random Weights,Conv1,LOC,sub-02,0,0,-0.009023,4e-06
Random Weights,Conv1,LOC,sub-03,0,0,-0.000855,0.663753
Random Weights,Conv1,IT,sub-01,0,0,0.006767,0.000576
Random Weights,Conv1,IT,sub-02,0,0,-0.000732,0.70977
Random Weights,Conv1,IT,sub-03,0,0,0.002605,0.185085
Random Weights,Conv2,V1,sub-01,0,0,0.067645,0.0
Random Weights,Conv2,V1,sub-02,0,0,0.109573,0.0
Random Weights,Conv2,V1,sub-03,0,0,0.016819,0.0
Random Weights,Conv2,V2,sub-01,0,0,0.041978,0.0
Random Weights,Conv2,V2,sub-02,0,0,0.069501,0.0
Random Weights,Conv2,V2,sub-03,0,0,0.002487,0.205745
Random Weights,Conv2,V3,sub-01,0,0,0.031084,0.0
Random Weights,Conv2,V3,sub-02,0,0,0.047485,0.0
Random Weights,Conv2,V3,sub-03,0,0,0.005243,0.007641
Random Weights,Conv2,V4,sub-01,0,0,0.015809,0.0
Random Weights,Conv2,V4,sub-02,0,0,0.011377,0.0
Random Weights,Conv2,V4,sub-03,0,0,0.003718,0.058534
Random Weights,Conv2,LOC,sub-01,0,0,0.006506,0.000933
Random Weights,Conv2,LOC,sub-02,0,0,-0.012063,0.0
Random Weights,Conv2,LOC,sub-03,0,0,-0.002804,0.153713
Random Weights,Conv2,IT,sub-01,0,0,0.007344,0.000187
Random Weights,Conv2,IT,sub-02,0,0,-0.002031,0.301401
Random Weights,Conv2,IT,sub-03,0,0,0.002482,0.20659
Random Weights,Conv3,V1,sub-01,0,0,0.071528,0.0
Random Weights,Conv3,V1,sub-02,0,0,0.116348,0.0
Random Weights,Conv3,V1,sub-03,0,0,0.017223,0.0
Random Weights,Conv3,V2,sub-01,0,0,0.043912,0.0
Random Weights,Conv3,V2,sub-02,0,0,0.074714,0.0
Random Weights,Conv3,V2,sub-03,0,0,0.002561,0.192616
Random Weights,Conv3,V3,sub-01,0,0,0.033078,0.0
Random Weights,Conv3,V3,sub-02,0,0,0.052823,0.0
Random Weights,Conv3,V3,sub-03,0,0,0.004981,0.011278
Random Weights,Conv3,V4,sub-01,0,0,0.016917,0.0
Random Weights,Conv3,V4,sub-02,0,0,0.013798,0.0
Random Weights,Conv3,V4,sub-03,0,0,0.002882,0.14262
Random Weights,Conv3,LOC,sub-01,0,0,0.005938,0.002519
Random Weights,Conv3,LOC,sub-02,0,0,-0.014037,0.0
Random Weights,Conv3,LOC,sub-03,0,0,-0.003117,0.112789
Random Weights,Conv3,IT,sub-01,0,0,0.007262,0.00022
Random Weights,Conv3,IT,sub-02,0,0,-0.002778,0.157498
Random Weights,Conv3,IT,sub-03,0,0,0.002013,0.305884
Random Weights,FC1,V1,sub-01,0,0,0.121403,0.0
Random Weights,FC1,V1,sub-02,0,0,0.170759,0.0
Random Weights,FC1,V1,sub-03,0,0,0.027952,0.0
Random Weights,FC1,V2,sub-01,0,0,0.070131,0.0
Random Weights,FC1,V2,sub-02,0,0,0.110121,0.0
Random Weights,FC1,V2,sub-03,0,0,0.006657,0.000707
Random Weights,FC1,V3,sub-01,0,0,0.048966,0.0
Random Weights,FC1,V3,sub-02,0,0,0.091193,0.0
Random Weights,FC1,V3,sub-03,0,0,0.007196,0.000251
Random Weights,FC1,V4,sub-01,0,0,0.027373,0.0
Random Weights,FC1,V4,sub-02,0,0,0.037491,0.0
Random Weights,FC1,V4,sub-03,0,0,-0.00022,0.910725
Random Weights,FC1,LOC,sub-01,0,0,0.002109,0.283296
Random Weights,FC1,LOC,sub-02,0,0,-0.010685,0.0
Random Weights,FC1,LOC,sub-03,0,0,-0.001063,0.588638
Random Weights,FC1,IT,sub-01,0,0,0.003056,0.120015
Random Weights,FC1,IT,sub-02,0,0,0.0088,8e-06
Random Weights,FC1,IT,sub-03,0,0,0.001146,0.559804
Backprop,Conv1,V1,sub-01,0,0,0.060318,0.0
Backprop,Conv1,V1,sub-02,0,0,0.099211,0.0
Backprop,Conv1,V1,sub-03,0,0,0.017059,0.0
Backprop,Conv1,V2,sub-01,0,0,0.037857,0.0
Backprop,Conv1,V2,sub-02,0,0,0.058762,0.0
Backprop,Conv1,V2,sub-03,0,0,0.00236,0.229833
Backprop,Conv1,V3,sub-01,0,0,0.026736,0.0
Backprop,Conv1,V3,sub-02,0,0,0.036431,0.0
Backprop,Conv1,V3,sub-03,0,0,0.005023,0.010609
Backprop,Conv1,V4,sub-01,0,0,0.014026,0.0
Backprop,Conv1,V4,sub-02,0,0,0.010192,0.0
Backprop,Conv1,V4,sub-03,0,0,0.004252,0.030525
Backprop,Conv1,LOC,sub-01,0,0,0.006741,0.000604
Backprop,Conv1,LOC,sub-02,0,0,-0.009023,4e-06
Backprop,Conv1,LOC,sub-03,0,0,-0.000855,0.663753
Backprop,Conv1,IT,sub-01,0,0,0.006767,0.000576
Backprop,Conv1,IT,sub-02,0,0,-0.000732,0.70977
Backprop,Conv1,IT,sub-03,0,0,0.002605,0.185085
Backprop,Conv2,V1,sub-01,0,0,0.067645,0.0
Backprop,Conv2,V1,sub-02,0,0,0.109573,0.0
Backprop,Conv2,V1,sub-03,0,0,0.016819,0.0
Backprop,Conv2,V2,sub-01,0,0,0.041978,0.0
Backprop,Conv2,V2,sub-02,0,0,0.069501,0.0
Backprop,Conv2,V2,sub-03,0,0,0.002487,0.205745
Backprop,Conv2,V3,sub-01,0,0,0.031084,0.0
Backprop,Conv2,V3,sub-02,0,0,0.047485,0.0
Backprop,Conv2,V3,sub-03,0,0,0.005243,0.007641
Backprop,Conv2,V4,sub-01,0,0,0.015809,0.0
Backprop,Conv2,V4,sub-02,0,0,0.011377,0.0
Backprop,Conv2,V4,sub-03,0,0,0.003718,0.058534
Backprop,Conv2,LOC,sub-01,0,0,0.006506,0.000933
